"Asparagus","Asparagus"
"Broccoli","Broccoli"
"Carrots","Carrots"
"Cauliflower","Cauliflower"
"Celery","Celery"
"Corn","Corn"
"Cucumbers","Cucumbers"
"Lettuce / Greens","Lettuce / Greens"
"Mushrooms","Mushrooms"
"Onions","Onions"
"Peppers","Peppers"
"Potatoes","Potatoes"
"Spinach","Spinach"
"Squash","Squash"
"Zucchini","Zucchini"
"Tomatoes*","Tomatoes*"
"Apples","Apples"
"Avocados","Avocados"
"Bananas","Bananas"
"Berries","Berries"
"Cherries","Cherries"
"Grapefruit","Grapefruit"
"Grapes","Grapes"
"Kiwis","Kiwis"
"Lemons / Limes","Lemons / Limes"
"Melon","Melon"
"Nectarines","Nectarines"
"Oranges","Oranges"
"Peaches","Peaches"
"Pears","Pears"
"Plums","Plums"
"Bagels","Bagels"
"Chip dip","Chip dip"
"Eggs / Fake eggs","Eggs / Fake eggs"
"English muffins","English muffins"
"Fruit juice","Fruit juice"
"Hummus","Hummus"
"Ready-bake breads","Ready-bake breads"
"Tofu","Tofu"
"Tortillas","Tortillas"
"Breakfasts","Breakfasts"
"Burritos","Burritos"
"Fish sticks","Fish sticks"
"Fries / Tater tots","Fries / Tater tots"
"Ice cream / Sorbet","Ice cream / Sorbet"
"Juice concentrate","Juice concentrate"
"Pizza","Pizza"
"Pizza Rolls","Pizza Rolls"
"Popsicles","Popsicles"
"TV dinners","TV dinners"
"Vegetables","Vegetables"
"BBQ sauce","BBQ sauce"
"Gravy","Gravy"
"Honey","Honey"
"Hot sauce","Hot sauce"
"Jam / Jelly / Preserves","Jam / Jelly / Preserves"
"Ketchup / Mustard","Ketchup / Mustard"
"Mayonnaise","Mayonnaise"
"Pasta sauce","Pasta sauce"
"Relish","Relish"
"Salad dressing","Salad dressing"
"Salsa","Salsa"
"Soy sauce","Soy sauce"
"Steak sauce","Steak sauce"
"Syrup","Syrup"
"Worcestershire sauce","Worcestershire sauce"
"Bouillon cubes","Bouillon cubes"
"Cereal","Cereal"
"Coffee / Filters","Coffee / Filters"
"Instant potatoes","Instant potatoes"
"Lemon / Lime juice","Lemon / Lime juice"
"Mac & cheese","Mac & cheese"
"Olive oil","Olive oil"
"Packaged meals","Packaged meals"
"Pancake / Waffle mix","Pancake / Waffle mix"
"Pasta","Pasta"
"Peanut butter","Peanut butter"
"Pickles","Pickles"
"Rice","Rice"
"Tea","Tea"
"Vegetable oil","Vegetable oil"
"Vinegar","Vinegar"
"Basil","Basil"
"Black pepper","Black pepper"
"Cilantro","Cilantro"
"Cinnamon","Cinnamon"
"Garlic","Garlic"
"Ginger","Ginger"
"Mint","Mint"
"Oregano","Oregano"
"Paprika","Paprika"
"Parsley","Parsley"
"Red pepper","Red pepper"
"Salt","Salt"
"Vanilla extract","Vanilla extract"
"Butter / Margarine","Butter / Margarine"
"Cottage cheese","Cottage cheese"
"Half & half","Half & half"
"Milk","Milk"
"Sour cream","Sour cream"
"Whipped cream","Whipped cream"
"Yogurt","Yogurt"
"Bleu cheese","Bleu cheese"
"Cheddar","Cheddar"
"Cottage cheese","Cottage cheese"
"Cream cheese","Cream cheese"
"Feta","Feta"
"Goat cheese","Goat cheese"
"Mozzarella","Mozzarella"
"Parmesan","Parmesan"
"Provolone","Provolone"
"Ricotta","Ricotta"
"Sandwich slices","Sandwich slices"
"Swiss","Swiss"
"Bacon / Sausage","Bacon / Sausage"
"Beef","Beef"
"Chicken","Chicken"
"Ground beef / Turkey","Ground beef / Turkey"
"Ham / Pork","Ham / Pork"
"Hot dogs","Hot dogs"
"Lunchmeat","Lunchmeat"
"Turkey","Turkey"
"Catfish","Catfish"
"Crab","Crab"
"Lobster","Lobster"
"Mussels","Mussels"
"Oysters","Oysters"
"Salmon","Salmon"
"Shrimp","Shrimp"
"Tilapia","Tilapia"
"Tuna","Tuna"
"Beer","Beer"
"Club soda / Tonic","Club soda / Tonic"
"Champagne","Champagne"
"Gin","Gin"
"Juice","Juice"
"Mixers","Mixers"
"Red wine / White wine","Red wine / White wine"
"Rum","Rum"
"Sak","Sak"
"Soda pop","Soda pop"
"Sports drink","Sports drink"
"Whiskey","Whiskey"
"Vodka","Vodka"
"Bagels / Croissants","Bagels / Croissants"
"Buns / Rolls","Buns / Rolls"
"Cake / Cookies","Cake / Cookies"
"Donuts / Pastries","Donuts / Pastries"
"Fresh bread","Fresh bread"
"Pie! Pie! Pie!","Pie! Pie! Pie!"
"Pita bread","Pita bread"
